iter	Logloss
0	0.6778276912
1	0.6642869496
2	0.6510583461
3	0.635168449
4	0.6203906117
5	0.6053562005
6	0.5913363422
7	0.5773888485
8	0.5638394516
9	0.550742062
10	0.5377200238
11	0.5243873358
12	0.5129033088
13	0.5047204691
14	0.4942406021
15	0.4836253296
16	0.4733355128
17	0.4629417477
18	0.4527778333
19	0.442297434
20	0.4316455038
21	0.4257511241
22	0.4178411455
23	0.4102448093
24	0.4036107628
25	0.3956263752
26	0.387382156
27	0.3793134879
28	0.3727606141
29	0.3642855576
30	0.3560175939
31	0.3479587877
32	0.343652233
33	0.3363162819
34	0.3293754658
35	0.3250818886
36	0.3188790848
37	0.3126894177
38	0.3073067884
39	0.3018087305
40	0.2972341803
41	0.2922938426
42	0.2873903378
43	0.2821061391
44	0.2767532775
45	0.2721812279
46	0.2673021763
47	0.2626775404
48	0.2581449904
49	0.2542651497
50	0.2505927674
51	0.246829299
52	0.2434765464
53	0.2391193995
54	0.2354908798
55	0.2322911129
56	0.2289233595
57	0.2262312091
58	0.2234609125
59	0.2195314411
60	0.2169816929
61	0.2128097563
62	0.2089232819
63	0.2066104943
64	0.2047153644
65	0.2016134627
66	0.1986402942
67	0.1965335136
68	0.1936424811
69	0.1908683593
70	0.1879290036
71	0.1849101192
72	0.1824538295
73	0.180367949
74	0.1778287334
75	0.1756914407
76	0.1738273267
77	0.1719334864
78	0.1699118071
79	0.1679109451
80	0.1658539224
81	0.1638008362
82	0.1618659324
83	0.1597955754
84	0.1580664604
85	0.1559678643
86	0.1540631551
87	0.1520284027
88	0.1503702675
89	0.1484361851
90	0.146688547
91	0.1451435294
92	0.1436392732
93	0.1420594621
94	0.1406953487
95	0.1391458219
96	0.137455047
97	0.1356968927
98	0.1345600405
99	0.1335817356
100	0.1322729636
101	0.1309085505
102	0.1295968302
103	0.1282727309
104	0.1268932717
105	0.1258892164
106	0.1249172078
107	0.1238534256
108	0.1225751539
109	0.1210804321
110	0.1203082477
111	0.1189718321
112	0.1179785321
113	0.1172563668
114	0.1162409103
115	0.1151998387
116	0.1143305917
117	0.113147307
118	0.1124909281
119	0.1113970384
120	0.1106761604
121	0.1097100283
122	0.1086197795
123	0.1078567182
124	0.1071210455
125	0.1063275058
126	0.1053375163
127	0.10455455
128	0.1035996452
129	0.1029233168
130	0.1023724871
131	0.1015948878
132	0.1007422039
133	0.1000283264
134	0.09932975625
135	0.09845561702
136	0.09765109009
137	0.09687608979
138	0.09610372516
139	0.09539124315
140	0.09475827594
141	0.09402774116
142	0.09348428654
143	0.09283820391
144	0.09198230496
145	0.09133749361
146	0.09059726002
147	0.09004090553
148	0.08931786508
149	0.08890511823
150	0.08842445586
151	0.0877208408
152	0.08730501302
153	0.08695615959
154	0.08636689951
155	0.08601466693
156	0.08537801079
157	0.08480541697
158	0.08409417529
159	0.08369225124
160	0.0831427301
161	0.08262459339
162	0.08208602537
163	0.08162857287
164	0.08114328844
165	0.08064215898
166	0.0801936534
167	0.07979504196
168	0.07943593863
169	0.07904635803
170	0.07853290189
171	0.07805354182
172	0.07767518637
173	0.07736519311
174	0.07694045883
175	0.07648621994
176	0.07609764313
177	0.0756263577
178	0.0752701498
179	0.07484520835
180	0.07423876139
181	0.07362121236
182	0.07320314589
183	0.07281323383
184	0.07243788819
185	0.07193679541
186	0.07164209577
187	0.07121834936
188	0.07083769651
189	0.07049215466
190	0.07017017829
191	0.06989389316
192	0.06948293814
193	0.06918929123
194	0.06879643876
195	0.06846577602
196	0.06823650459
197	0.06791669639
198	0.0674933781
199	0.06718693306
200	0.06671919997
201	0.06635581399
202	0.06611676504
203	0.06575895033
204	0.06533753876
205	0.06505570507
206	0.06481411904
207	0.06450525823
208	0.06418039153
209	0.06394387091
210	0.0636403963
211	0.06337251386
212	0.06307759148
213	0.06283071617
214	0.06258921726
215	0.06234157711
216	0.06204430462
217	0.0616749642
218	0.06140540168
219	0.0611912258
220	0.06097838389
221	0.06075706767
222	0.0604822767
223	0.06035384173
224	0.06001443328
225	0.05974658678
226	0.05953869611
227	0.05928178469
228	0.05893668892
229	0.05867318454
230	0.05838680962
231	0.05817941667
232	0.05795360469
233	0.05778482984
234	0.05757078264
235	0.05729624292
236	0.05694206203
237	0.05675787147
238	0.05648288669
239	0.05629102987
240	0.05606415561
241	0.05590956106
242	0.05561548323
243	0.05532755073
244	0.05511838675
245	0.05491429905
246	0.05474474668
247	0.05458228736
248	0.0544067487
249	0.05416971394
250	0.05402334627
251	0.05373860102
252	0.05353049915
253	0.05328996733
254	0.05312652647
255	0.05294633379
256	0.0527119775
257	0.05251734257
258	0.05238450854
259	0.05224739162
260	0.0520993533
261	0.05197815321
262	0.05189436096
263	0.05165952013
264	0.05142231216
265	0.0512502406
266	0.05104613021
267	0.05091279902
268	0.05077629656
269	0.05064189757
270	0.05049139805
271	0.05030065666
272	0.0501307417
273	0.04989461741
274	0.04967884891
275	0.04943410945
276	0.04915006253
277	0.04896491082
278	0.04876721919
279	0.04854764242
280	0.04836139906
281	0.04815768566
282	0.04803264272
283	0.04782256861
284	0.04771461431
285	0.04757603224
286	0.04738391972
287	0.04725989339
288	0.04708314913
289	0.04690108952
290	0.04676294093
291	0.04662998154
292	0.04642560547
293	0.04622784215
294	0.04606751783
295	0.04592555139
296	0.04580353325
297	0.04567588116
298	0.04548894679
299	0.04533706358
300	0.04519344803
301	0.04506047186
302	0.04491309476
303	0.04479292611
304	0.04470438677
305	0.0445958672
306	0.0444693398
307	0.0443466494
308	0.04425826846
309	0.04407633177
310	0.04393314672
311	0.04380065179
312	0.04354894031
313	0.04343368644
314	0.04328814967
315	0.04313440039
316	0.0429709684
317	0.0429182155
318	0.04284647305
319	0.04269155205
320	0.04251622312
321	0.04236313954
322	0.04215273036
323	0.0420435906
324	0.04187307001
325	0.04176847168
326	0.04162503236
327	0.04146546886
328	0.04134549545
329	0.04126481909
330	0.04112596618
331	0.04097609085
332	0.04085761271
333	0.04066950125
334	0.04052498358
335	0.04043226688
336	0.0402570262
337	0.04016262218
338	0.04000364161
339	0.03980022691
340	0.03965632602
341	0.03953885689
342	0.03945200135
343	0.03928813415
344	0.0391707154
345	0.03904166414
346	0.03893974676
347	0.0388082822
348	0.03865719639
349	0.03845829854
350	0.0383926893
351	0.03824261151
352	0.03814027109
353	0.03801433802
354	0.03785628271
355	0.03772015738
356	0.03762353848
357	0.03754721118
358	0.03743904713
359	0.03732900008
360	0.03717945975
361	0.03709377798
362	0.03694000556
363	0.03684077704
364	0.03674153739
365	0.03657628257
366	0.03645968404
367	0.03636386645
368	0.03622824721
369	0.03616215652
370	0.03604237155
371	0.03595718398
372	0.03584768882
373	0.0357852059
374	0.03567358133
375	0.03554361883
376	0.03545045078
377	0.0353425117
378	0.03527923361
379	0.03518346752
380	0.03512853795
381	0.03506935948
382	0.03501976045
383	0.03488950364
384	0.03483053086
385	0.03476863099
386	0.03467533543
387	0.03457182357
388	0.0345072197
389	0.03439912145
390	0.03431341287
391	0.03421927527
392	0.03410023665
393	0.03401362925
394	0.03391618473
395	0.03383320301
396	0.03372970915
397	0.0336506821
398	0.03358114608
399	0.03356431669
400	0.03347376147
401	0.03334779569
402	0.03324177169
403	0.03312183022
404	0.03306672563
405	0.03302365941
406	0.03294807549
407	0.03284022882
408	0.03273483838
409	0.03264833607
410	0.03258350576
411	0.03251405617
412	0.03239565629
413	0.03234277499
414	0.03226422211
415	0.03218672059
416	0.03207212342
417	0.03203045224
418	0.03196019206
419	0.03191204715
420	0.03181829924
421	0.03168439345
422	0.03161799702
423	0.03155202399
